team,Average Base Salary (thousands),gpa (out of 5),denial rate (%),endowment (billions),age (yrs),Tier
Stanford,116,3.95,96,36.5,139,1
California,97,3.93,13,2.915,156,1
Georgia Tech,96,4.07,83,2.947,139,1
Duke,95,4.13,94,13.238,186,1
Southern California,92,3.83,88,7.463,144,1
UCLA,89,3.93,91,5.1,105,1
Northwestern,89,4.1,93,13.7,173,1
Vanderbilt,89,3.91,93,9.684,151,1
Michigan,88,3.8,82,17.9,207,1
Notre Dame,87,4.06,87,16.62,182,1
Maryland,87,4,55,2.095,168,1
Missouri,86,3.52,21,2.235,185,1
Boston College,85,3.99,83,3.461,161,1
Washington,84,3.83,52,4.94,163,2
Virginia,84,4.32,81,9.8,205,2
Illinois,84,3.8,55,3.383,157,2
Syracuse,84,3.75,48,1.897,154,2
Alabama,83,3.77,20,2.089,193,2
Texas,83,3.83,69,44.967,141,2
Virginia Tech,83,4,43,1.792,152,2
BYU,83,3.9,33,2.78,149,2
Purdue,83,3.74,47,3.793,155,2
Army,83,4,88,0.422,221,2
NC State,82,3.84,53,2.03,137,2
UMass,82,4,36,1.314,161,2
Rutgers,81,3.73,34,1.988,258,2
Washington State,81,3.5,17,1.267,135,2
Texas A&M,80,3.68,37,19.285,148,3
Wisconsin,80,3.9,51,3.838,176,3
Oregon,80,3.76,14,1.489,152,3
Minnesota,80,3.88,25,5.501,173,3
Arizona,80,3.53,13,1.288,139,3
Oregon State,80,3.61,17,0.83,156,3
Utah,80,3.64,11,1.643,174,3
Florida,79,4,77,2.337,171,3
Michigan State,79,3.8,12,4.054,169,3
Miami,79,3.8,81,1.366,99,3
Wake Forest,79,3.91,79,1.9,190,3
Ohio State,77,3.81,47,7.4,154,3
Arizona State,77,3.55,10,1.467,138,3
Pittsburgh,77,4,51,5.489,237,3
North Carolina,77,4,83,5.2,235,4
Mississippi State,77,3.61,25,0.709,146,4
TCU,77,3.7,44,2.579,151,4
Auburn,76,4,56,1.079,168,4
Clemson,76,4.43,57,1.027,135,4
Texas Tech,76,3.62,33,1.716,101,4
Colorado,76,3.7,19,2.096,148,4
Houston,76,3.49,34,1.046,97,4
Oklahoma,75,3.67,27,1.67,134,4
West Virginia,75,3.45,12,0.844,157,4
Kansas,75,3.66,12,2.357,159,4
Iowa,74,3.81,14,3.258,166,4
Iowa State,74,3.7,10,1.643,166,4
Kansas State,74,3.79,5,0.952,161,4
Cincinnati,74,3.74,14,1.346,205,5
Tennessee,73,4,32,1.4,230,5
Georgia,73,4,57,1.81,239,5
Louisville,73,3.64,18,0.918,226,5
Baylor,73,3.67,54,1.966,179,5
Nebraska,72,3.67,21,2.266,155,5
Arkansas,72,3.76,21,1.527,153,5
Kentucky,72,3.61,5,1.808,159,5
Florida State,71,4,75,0.947,173,5
UCF,71,4,59,0.229,61,5
LSU,70,3.77,24,1.061,164,5
South Carolina,70,3.66,36,0.951,223,5
Mississippi,70,3.68,3,0.836,180,5
Indiana,63,3.76,18,3.558,204,5
Oklahoma State,60,3.61,29,1.707,134,5
Penn State,55,3.71,45,4.61,169,5