team,Average Base Salary (thousands),gpa (out of 5),denial rate (%),endowment (billions),age (yrs)
Michigan,88,3.8,82,17.9,207
Penn State,55,3.71,45,4.61,169
Ohio State,77,3.81,47,7.4,154
Texas A&M,80,3.68,37,19.285,148
Tennessee,73,4,32,1.4,230
LSU,70,3.77,24,1.061,164
Alabama,83,3.77,20,2.089,193
Texas,83,3.83,69,44.967,141
Southern California,92,3.83,88,7.463,144
Georgia,73,4,57,1.81,239
UCLA,89,3.93,91,5.1,105
Florida,79,4,77,2.337,171
Auburn,76,4,56,1.079,168
Nebraska,72,3.67,21,2.266,155
Florida State,71,4,75,0.947,173
Oklahoma,75,3.67,27,1.67,134
Clemson,76,4.43,57,1.027,135
Notre Dame,87,4.06,87,16.62,182
Wisconsin,80,3.9,51,3.838,176
South Carolina,70,3.66,36,0.951,223
Michigan State,79,3.8,12,4.054,169
Arkansas,72,3.76,21,1.527,153
Arizona State,77,3.55,10,1.467,138
Missouri,86,3.52,21,2.235,185
Iowa,74,3.81,14,3.258,166
Washington,84,3.83,52,4.94,163
Pittsburgh,77,4,51,5.489,237
Virginia Tech,83,4,43,1.792,152
Miami,79,3.8,81,1.366,99
BYU,83,3.9,33,2.78,149
North Carolina,77,4,83,5.2,235
California,97,3.93,13,2.915,156
Kentucky,72,3.61,5,1.808,159
Iowa State,74,3.7,10,1.643,166
Virginia,84,4.32,81,9.8,205
Mississippi State,77,3.61,25,0.709,146
Texas Tech,76,3.62,33,1.716,101
Illinois,84,3.8,55,3.383,157
Mississippi,70,3.68,3,0.836,180
Oklahoma State,60,3.61,29,1.707,134
West Virginia,75,3.45,12,0.844,157
NC State,82,3.84,53,2.03,137
Purdue,83,3.74,47,3.793,155
Georgia Tech,96,4.07,83,2.947,139
Louisville,73,3.64,18,0.918,226
Oregon,80,3.76,14,1.489,152
Indiana,63,3.76,18,3.558,204
Minnesota,80,3.88,25,5.501,173
Rutgers,81,3.73,34,1.988,258
Arizona,80,3.53,13,1.288,139
Maryland,87,4,55,2.095,168
Colorado,76,3.7,19,2.096,148
Kansas,75,3.66,12,2.357,159
Kansas State,74,3.79,5,0.952,161
Stanford,116,3.95,96,36.5,139
Syracuse,84,3.75,48,1.897,154
Northwestern,89,4.1,93,13.7,173
Oregon State,80,3.61,17,0.83,156
UCF,71,4,59,0.229,61
Baylor,73,3.67,54,1.966,179
Utah,80,3.64,11,1.643,174
TCU,77,3.7,44,2.579,151
Boston College,85,3.99,83,3.461,161
Vanderbilt,89,3.91,93,9.684,151
Cincinnati,74,3.74,14,1.346,205
Houston,76,3.49,34,1.046,97
Army,83,4,88,0.422,221
Duke,95,4.13,94,13.238,186
Washington State,81,3.5,17,1.267,135
Wake Forest,79,3.91,79,1.9,190
UMass,82,4,36,1.314,161